,분류,세부분류,관광정보 사례수,관광정보 불만족,관광정보 보통,관광정보 만족,관광정보 5점평균,관광정보 100점평균,관광지매력 사례수,관광지매력 불만족,관광지매력 보통,관광지매력 만족,관광지매력 5점평균,관광지매력 100점평균,교통정보 사례수,교통정보 불만족,교통정보 보통,교통정보 만족,교통정보 5점평균,교통정보 100점평균,관광지편의성 사례수,관광지편의성 불만족,관광지편의성 보통,관광지편의성 만족,관광지편의성 5점평균,관광지편의성 100점평균,쇼핑 사례수,쇼핑 불만족,쇼핑 보통,쇼핑 만족,쇼핑 5점평균,쇼핑 100점평균,숙박 사례수,숙박 불만족,숙박 보통,숙박 만족,숙박 5점평균,숙박 100점평균,여행경비 사례수,여행경비 불만족,여행경비 보통,여행경비 만족,여행경비 5점평균,여행경비 100점평균,음식 사례수,음식 불만족,음식 보통,음식 만족,음식 5점평균,음식 100점평균,대중교통 사례수,대중교통 불만족,대중교통 보통,대중교통 만족,대중교통 5점평균,대중교통 100점평균,주민친절 사례수,주민친절 불만족,주민친절 보통,주민친절 만족,주민친절 5점평균,주민친절 100점평균,치안 사례수,치안 불만족,치안 보통,치안 만족,치안 5점평균,치안 100점평균
0,월별,01월,463,0.2,4.0,95.2,4.35,83.76,463,0.5,1.9,97.4,4.59,89.75,463,2.1,7.1,90.3,4.25,81.13,463,0.2,3.3,96.4,4.42,85.47,463,0.5,5.3,81.7,4.28,82.1,463,0.2,2.2,94.7,4.53,88.31,463,3.6,23.2,73.2,3.9,72.48,463,0.2,4.3,95.3,4.4,85.06,463,2.0,5.4,2.9,3.1,52.43,463,1.7,14.5,79.8,4.06,76.55,463,0.0,2.7,96.3,4.26,81.41
1,월별,02월,452,0.5,2.1,97.1,4.42,85.57,452,0.0,1.8,98.2,4.67,91.87,452,0.7,3.1,96.1,4.29,82.29,452,0.0,0.8,98.9,4.52,87.93,452,0.0,2.7,86.4,4.42,85.42,452,0.3,1.0,97.3,4.51,87.71,452,5.1,16.9,77.8,3.94,73.54,452,0.0,3.1,95.3,4.4,85.09,452,0.5,1.5,2.6,3.64,65.91,452,0.7,12.7,82.0,4.12,77.96,452,0.5,1.0,98.2,4.31,82.64
2,월별,03월,470,1.6,6.0,91.8,4.29,82.26,470,0.2,2.8,97.0,4.54,88.43,470,0.5,9.5,87.4,4.28,82.0,470,0.2,4.2,95.6,4.44,85.97,470,0.5,8.3,73.8,4.19,79.66,470,0.0,2.9,95.0,4.54,88.43,470,5.0,24.5,70.4,3.8,69.97,470,0.8,5.5,92.1,4.3,82.39,470,0.9,4.5,2.5,3.24,55.93,470,0.7,14.3,80.7,4.07,76.86,470,0.5,4.1,95.2,4.2,80.02
3,월별,04월,524,0.2,4.4,95.1,4.37,84.24,524,0.0,1.5,98.4,4.53,88.19,524,0.0,8.2,91.3,4.34,83.62,524,0.2,3.0,96.7,4.45,86.13,524,0.3,5.8,80.7,4.28,82.06,524,0.3,0.9,98.0,4.64,90.93,524,4.3,28.2,67.6,3.77,69.21,524,0.7,3.2,93.1,4.35,83.8,524,0.0,0.9,0.9,3.49,62.16,524,0.8,16.9,77.2,3.98,74.61,524,0.2,2.5,97.1,4.17,79.37
4,월별,05월,532,0.4,3.3,96.3,4.34,83.44,532,0.0,1.6,98.2,4.66,91.45,532,0.4,10.0,84.3,4.16,78.9,532,0.0,2.6,97.4,4.43,85.85,532,0.9,9.5,79.3,4.16,79.01,532,0.0,3.1,95.1,4.46,86.43,532,8.6,28.7,62.7,3.65,66.16,532,0.2,7.0,91.2,4.32,83.1,532,0.6,1.1,1.1,3.26,56.48,532,1.1,16.1,81.3,3.99,74.71,532,0.0,2.4,97.6,4.19,79.84
5,월별,06월,523,0.2,4.1,95.7,4.33,83.34,523,0.2,1.9,97.9,4.63,90.82,523,0.5,19.1,78.6,3.99,74.79,523,0.0,3.3,96.7,4.41,85.13,523,1.2,12.1,73.4,4.1,77.58,523,0.7,1.7,95.6,4.44,86.05,523,6.3,29.3,64.4,3.66,66.43,523,1.0,3.7,93.8,4.33,83.27,523,1.1,2.1,2.3,3.25,56.18,523,1.2,13.7,79.0,4.01,75.37,523,0.0,2.8,97.2,4.13,78.22
6,월별,07월,524,0.2,6.2,93.3,4.28,81.98,524,0.0,1.6,98.4,4.67,91.64,524,1.4,18.1,77.8,3.96,74.03,524,0.0,3.2,96.7,4.36,84.04,524,1.2,15.3,67.4,4.0,75.04,524,0.0,3.6,95.5,4.45,86.18,524,5.7,30.8,63.5,3.66,66.55,524,0.5,3.1,94.1,4.38,84.44,524,1.1,3.7,2.0,3.2,54.97,524,0.7,16.2,75.3,4.02,75.61,524,0.2,1.2,98.6,4.14,78.61
7,월별,08월,562,1.1,25.5,72.5,3.95,73.67,562,0.7,14.3,84.8,4.24,81.06,562,3.6,26.7,67.9,3.82,70.55,562,0.9,18.3,80.6,4.1,77.38,562,3.8,31.0,53.1,3.7,67.45,562,2.2,12.4,82.0,4.25,81.23,562,31.6,32.8,35.6,3.01,50.34,562,4.7,18.9,74.7,3.96,74.04,562,1.3,3.8,3.4,3.3,57.55,562,5.9,29.5,63.3,3.76,68.92,562,3.1,16.4,80.0,3.98,74.38
8,월별,09월,467,1.8,22.0,74.0,3.96,73.9,467,0.7,14.3,84.7,4.27,81.72,467,2.8,32.7,58.6,3.73,68.24,467,0.9,20.4,77.7,4.04,75.9,467,2.3,24.4,60.2,3.89,72.29,467,0.7,12.2,82.5,4.19,79.64,467,20.7,32.6,45.7,3.29,57.21,467,4.2,16.2,73.1,4.07,76.87,467,3.2,5.6,5.0,3.23,55.81,467,2.8,25.6,69.0,3.85,71.36,467,0.9,15.9,82.0,4.05,76.16
9,월별,10월,567,2.0,22.1,74.9,3.99,74.8,567,0.5,10.9,88.1,4.26,81.4,567,5.3,25.1,66.1,3.84,70.98,567,0.5,16.7,82.6,4.15,78.74,567,5.0,23.2,59.9,3.86,71.55,567,1.4,12.0,85.1,4.25,81.3,567,22.7,36.7,40.7,3.21,55.21,567,2.7,16.6,74.6,4.07,76.68,567,1.6,2.6,2.5,3.14,53.38,567,4.7,26.0,67.5,3.82,70.55,567,0.9,16.5,82.1,4.01,75.36
